date,act_symbol,expiration,strike,call_put,bid,ask,implied_volatility,delta,gamma,theta,vega,stock_price,T,mid_price,risk_free_rate,BS_price,BT_price,MC_price,ML_price,BS_error,BT_error,MC_error,ML_error,BS_error_pct,BT_error_pct,MC_error_pct,ML_error_pct
2013-01-02,AAPL,2013-01-04,400.0,call,146.9,150.6,0.3726,1.0,0.0,-1.2112,0.0,549.029976,0.005479452054794521,148.75,0.05,149.1395500302694,149.13955003026487,149.01185667336628,146.31699999999992,0.3895500302693904,0.38955003026487134,0.2618566733662817,-2.433000000000078,0.26188237329034647,0.26188237328730846,0.17603809974203813,-1.6356302521008927
2013-01-15,AAPL,2013-01-25,640.0,put,153.6,155.7,0.6985,-0.992,0.0004,-21.3152,1.7017,485.920013,0.0273972602739726,154.64999999999998,0.05,153.39519001705372,153.3867801551556,153.88090787281436,146.04284999999976,-1.2548099829462558,-1.2632198448443717,-0.7690921271856155,-8.607150000000217,-0.8113869918824803,-0.8168249885834928,-0.4973114304465669,-5.565567410281422
2013-03-18,AAPL,2015-01-17,690.0,put,263.0,265.15,0.3081,-0.7762,0.0014,-19.2985,163.1256,455.720016,1.8356164383561644,264.075,0.05,201.5513601634022,201.34337660001077,202.8288107570243,265.7278571428575,-62.523639836597795,-62.73162339998922,-61.246189242975674,1.6528571428574992,-23.67647063773466,-23.75522991573955,-23.192725264782986,0.6259044373217834
2013-03-19,AAPL,2013-03-22,320.0,call,133.8,135.25,0.4184,1.0,0.0,-0.9021,0.0,454.489975,0.00821917808219178,134.525,0.05,134.621454831061,134.6214548310602,134.45796208841742,131.85599999999994,0.0964548310609814,0.0964548310601856,-0.0670379115825881,-2.669000000000068,0.07170030184796983,0.07170030184737826,-0.04983305079545667,-1.984017840550134
