date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-16,ED,2019-03-01,81.50,Call,0.05,0.15,0.1591,0.1244,0.0839,-0.0186,0.0315,0.0037
2019-02-09,AAP,2019-02-15,175.00,Call,0.00,0.15,0.2542,0.0183,0.0078,-0.0185,0.0101,0.0006
2019-02-16,ED,2019-03-01,81.50,Put,2.95,3.20,0.1591,-0.8880,0.0879,-0.0138,0.0309,-0.0141
2019-02-09,AAP,2019-02-15,175.00,Put,12.10,13.00,0.2650,-0.9852,0.0096,-0.0122,0.0093,-0.0069
2019-02-16,ED,2019-03-01,84.00,Call,0.00,0.05,0.1591,0.0169,0.0171,-0.0037,0.0064,0.0005
2019-02-09,AAP,2019-02-15,180.00,Call,0.00,0.10,0.2542,0.0019,0.0011,-0.0025,0.0014,0.0001
2019-02-16,ED,2019-03-01,84.00,Put,5.00,5.80,0.1591,-1.0000,0.0016,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-02-15,180.00,Put,17.30,18.10,0.2650,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-02-15,185.00,Call,0.00,0.10,0.2542,0.0001,0.0001,-0.0002,0.0001,0.0000
2019-02-16,ED,2019-03-01,85.00,Call,0.00,0.05,0.1591,0.0062,0.0071,-0.0016,0.0027,0.0002
2019-02-09,AAP,2019-02-15,185.00,Put,22.30,23.10,0.2650,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-16,ED,2019-03-01,85.00,Put,6.10,6.70,0.1591,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-16,ED,2019-03-01,90.00,Call,0.00,0.05,0.1591,0.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-03-15,140.00,Call,24.50,25.10,0.5015,0.8532,0.0091,-0.0909,0.1155,0.1089
2019-02-16,ED,2019-03-01,90.00,Put,11.20,11.80,0.1591,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-03-15,140.00,Put,1.95,2.30,0.5077,-0.1494,0.0092,-0.0834,0.1163,-0.0234
2019-02-16,ED,2019-03-15,67.50,Call,10.90,12.00,0.2072,0.9965,0.0023,-0.0055,0.0023,0.0514
2019-02-09,AAP,2019-03-15,145.00,Call,20.40,21.10,0.4910,0.7991,0.0114,-0.1068,0.1411,0.1044
2019-02-16,ED,2019-03-15,67.50,Put,0.00,0.10,0.2072,-0.0035,0.0023,-0.0008,0.0023,-0.0002
2019-02-09,AAP,2019-03-15,145.00,Put,2.80,3.10,0.4878,-0.1999,0.0115,-0.0962,0.1408,-0.0311
2019-02-16,ED,2019-03-15,70.00,Call,8.30,9.30,0.2072,0.9805,0.0105,-0.0085,0.0103,0.0523
2019-02-09,AAP,2019-03-15,150.00,Call,16.60,17.10,0.4713,0.7372,0.0138,-0.1177,0.1639,0.0985
2019-02-16,ED,2019-03-15,70.00,Put,0.00,0.15,0.2072,-0.0195,0.0105,-0.0037,0.0103,-0.0012
2019-02-09,AAP,2019-03-15,150.00,Put,4.00,4.20,0.4720,-0.2636,0.0139,-0.1082,0.1637,-0.0406
2019-02-16,ED,2019-03-15,72.50,Call,6.10,6.50,0.2072,0.9267,0.0309,-0.0158,0.0302,0.0509
2019-02-09,AAP,2019-03-15,155.00,Call,13.10,13.60,0.4562,0.6623,0.0159,-0.1265,0.1837,0.0902
2019-02-16,ED,2019-03-15,72.50,Put,0.10,0.20,0.2072,-0.0733,0.0309,-0.0108,0.0302,-0.0045
2019-02-09,AAP,2019-03-15,155.00,Put,5.50,5.70,0.4573,-0.3389,0.0160,-0.1169,0.1828,-0.0515
2019-02-16,ED,2019-03-15,75.00,Call,3.80,4.20,0.1801,0.8367,0.0630,-0.0215,0.0536,0.0472
2019-02-09,AAP,2019-03-15,160.00,Call,10.10,10.50,0.4445,0.5774,0.0175,-0.1310,0.1967,0.0799
2019-02-16,ED,2019-03-15,75.00,Put,0.25,0.40,0.1758,-0.1584,0.0637,-0.0158,0.0537,-0.0089
2019-02-09,AAP,2019-03-15,160.00,Put,7.50,7.70,0.4485,-0.4242,0.0175,-0.1222,0.1960,-0.0633
2019-02-16,ED,2019-03-15,77.50,Call,1.90,2.10,0.1560,0.6429,0.1101,-0.0259,0.0811,0.0371
2019-02-09,AAP,2019-03-15,165.00,Call,7.50,8.00,0.4363,0.4874,0.0182,-0.1301,0.2004,0.0684
2019-02-09,AAP,2019-03-15,165.00,Put,9.80,10.30,0.4402,-0.5141,0.0182,-0.1211,0.1996,-0.0747
2019-02-16,ED,2019-03-15,77.50,Put,0.80,0.95,0.1593,-0.3628,0.1100,-0.0215,0.0825,-0.0191
2019-02-16,ED,2019-03-15,80.00,Call,0.65,0.80,0.1469,0.3465,0.1156,-0.0229,0.0802,0.0203
2019-02-09,AAP,2019-03-15,170.00,Call,5.40,5.90,0.4285,0.3976,0.0179,-0.1230,0.1938,0.0564
2019-02-16,ED,2019-03-15,80.00,Put,1.95,2.15,0.1426,-0.6688,0.1228,-0.0173,0.0795,-0.0295
2019-02-09,AAP,2019-03-15,170.00,Put,12.80,13.20,0.4350,-0.6030,0.0179,-0.1145,0.1931,-0.0850
2019-02-16,ED,2019-03-15,82.50,Call,0.10,0.20,0.1469,0.1247,0.0644,-0.0124,0.0447,0.0073
2019-02-09,AAP,2019-03-15,175.00,Call,3.70,4.10,0.4166,0.3101,0.0169,-0.1089,0.1773,0.0445
2019-02-16,ED,2019-03-15,82.50,Put,3.90,4.20,0.1426,-0.9054,0.0699,-0.0068,0.0383,-0.0224
2019-02-16,ED,2019-03-15,85.00,Call,0.00,0.10,0.1469,0.0296,0.0211,-0.0040,0.0146,0.0018
2019-02-09,AAP,2019-03-15,175.00,Put,16.00,16.60,0.4263,-0.6888,0.0168,-0.1016,0.1791,-0.0927
2019-02-16,ED,2019-03-15,85.00,Put,6.20,6.80,0.1426,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-03-15,180.00,Call,2.50,2.95,0.4154,0.2368,0.0148,-0.0947,0.1551,0.0342
2019-02-16,ED,2019-03-15,90.00,Call,0.00,0.05,0.1469,0.0005,0.0006,-0.0001,0.0004,0.0000
2019-02-09,AAP,2019-03-15,180.00,Put,19.60,20.40,0.4183,-0.7668,0.0150,-0.0848,0.1586,-0.0964
2019-02-16,ED,2019-03-15,90.00,Put,11.30,12.20,0.1426,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-16,ED,2019-03-29,70.00,Call,8.60,9.20,0.2358,0.9347,0.0203,-0.0140,0.0339,0.0741
2019-02-09,AAP,2019-03-15,185.00,Call,1.60,2.00,0.4098,0.1725,0.0124,-0.0771,0.1284,0.0251
2019-02-16,ED,2019-03-29,70.00,Put,0.00,0.20,0.2358,-0.0652,0.0203,-0.0092,0.0352,-0.0057
2019-02-09,AAP,2019-03-15,185.00,Put,23.90,24.50,0.4220,-0.8261,0.0127,-0.0705,0.1344,-0.0964
2019-02-16,ED,2019-03-29,70.50,Call,7.70,10.40,0.2242,0.9322,0.0219,-0.0138,0.0348,0.0745
2019-02-09,AAPL,2019-02-22,145.00,Call,25.30,26.05,0.4236,0.9773,0.0038,-0.0371,0.0180,0.0540
2019-02-09,AAPL,2019-02-22,145.00,Put,0.06,0.08,0.3886,-0.0149,0.0029,-0.0172,0.0125,-0.0010
2019-02-16,ED,2019-03-29,70.50,Put,0.10,0.20,0.2242,-0.0676,0.0220,-0.0090,0.0370,-0.0059
2019-02-09,AAPL,2019-02-22,152.50,Call,17.90,18.55,0.3267,0.9627,0.0075,-0.0419,0.0271,0.0559
2019-02-16,ED,2019-03-29,73.00,Call,5.80,6.20,0.1878,0.8890,0.0379,-0.0157,0.0504,0.0733
2019-02-09,AAPL,2019-02-22,152.50,Put,0.12,0.16,0.3166,-0.0330,0.0070,-0.0274,0.0246,-0.0022
2019-02-16,ED,2019-03-29,73.00,Put,0.25,0.35,0.1923,-0.1165,0.0386,-0.0114,0.0552,-0.0099
2019-02-09,AAPL,2019-02-22,157.50,Call,13.30,13.55,0.2950,0.9208,0.0150,-0.0619,0.0492,0.0550
2019-02-16,ED,2019-03-29,75.50,Call,3.70,4.10,0.1782,0.7660,0.0646,-0.0213,0.0816,0.0646
2019-02-16,ED,2019-03-29,75.50,Put,0.55,0.70,0.1722,-0.2287,0.0668,-0.0154,0.0817,-0.0188
2019-02-09,AAPL,2019-02-22,157.50,Put,0.26,0.29,0.2763,-0.0664,0.0140,-0.0417,0.0434,-0.0042
2019-02-09,AAPL,2019-02-22,162.50,Call,8.75,8.90,0.2582,0.8376,0.0285,-0.0850,0.0820,0.0513
2019-02-16,ED,2019-03-29,77.00,Call,2.55,2.85,0.1612,0.6688,0.0845,-0.0220,0.0965,0.0572
2019-02-16,ED,2019-03-29,77.00,Put,0.85,1.05,0.1587,-0.3328,0.0874,-0.0167,0.0971,-0.0264
2019-02-09,AAPL,2019-02-22,162.50,Put,0.64,0.67,0.2455,-0.1507,0.0287,-0.0670,0.0811,-0.0093
2019-02-16,ED,2019-03-29,78.50,Call,1.60,1.85,0.1511,0.5340,0.0988,-0.0219,0.1058,0.0462
2019-02-09,AAPL,2019-02-22,167.50,Call,4.80,4.95,0.2350,0.6623,0.0466,-0.1099,0.1219,0.0414
2019-02-16,ED,2019-03-29,78.50,Put,1.40,1.60,0.1510,-0.4729,0.1018,-0.0169,0.1056,-0.0353
2019-02-09,AAPL,2019-02-22,167.50,Put,1.68,1.73,0.2265,-0.3337,0.0485,-0.0950,0.1232,-0.0199
2019-02-16,ED,2019-03-29,80.00,Call,0.90,1.15,0.1470,0.3847,0.0976,-0.0199,0.1017,0.0335
2019-02-09,AAPL,2019-02-22,170.00,Call,3.25,3.35,0.2261,0.5393,0.0526,-0.1132,0.1324,0.0340
2019-02-16,ED,2019-03-29,80.00,Put,2.15,2.45,0.1459,-0.6286,0.1025,-0.0148,0.1012,-0.0422
2019-02-09,AAPL,2019-02-22,170.00,Put,2.60,2.69,0.2191,-0.4621,0.0549,-0.0992,0.1326,-0.0266
2019-02-16,ED,2019-03-29,81.50,Call,0.45,0.60,0.1408,0.2427,0.0835,-0.0153,0.0832,0.0213
2019-02-09,AAPL,2019-02-22,175.00,Call,1.22,1.26,0.2178,0.2812,0.0464,-0.0909,0.1125,0.0179
2019-02-16,ED,2019-03-29,81.50,Put,3.20,3.60,0.1492,-0.7617,0.0860,-0.0117,0.0825,-0.0436
2019-02-09,AAPL,2019-02-22,175.00,Put,5.50,5.70,0.2099,-0.7317,0.0484,-0.0757,0.1097,-0.0364
2019-02-16,ED,2019-03-29,84.00,Call,0.10,0.30,0.1401,0.0905,0.0437,-0.0077,0.0434,0.0080
2019-02-09,AAPL,2019-02-22,177.50,Call,0.68,0.71,0.2172,0.1803,0.0362,-0.0701,0.0876,0.0115
2019-02-16,ED,2019-03-29,84.00,Put,5.40,5.70,0.1395,-0.9479,0.0520,-0.0029,0.0311,-0.0191
2019-02-16,ED,2019-03-29,85.00,Call,0.00,0.15,0.1401,0.0563,0.0304,-0.0053,0.0301,0.0050
2019-02-09,AAPL,2019-02-22,177.50,Put,7.45,7.65,0.2050,-0.8422,0.0374,-0.0520,0.0828,-0.0356
2019-02-16,ED,2019-03-29,85.00,Put,5.70,6.80,0.1395,-0.9902,0.0321,-0.0007,0.0116,-0.0012
2019-02-09,AAPL,2019-02-22,182.50,Call,0.20,0.23,0.2261,0.0662,0.0171,-0.0354,0.0429,0.0042
2019-02-16,ED,2019-03-29,90.00,Call,0.00,0.05,0.1401,0.0026,0.0022,-0.0004,0.0022,0.0002
2019-02-16,ED,2019-03-29,90.00,Put,10.50,11.90,0.1395,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAPL,2019-02-22,182.50,Put,11.95,12.50,0.2321,-0.9388,0.0185,-0.0275,0.0437,-0.0275
2019-02-16,EFX,2019-03-01,93.00,Call,14.60,18.80,0.4888,0.9742,0.0075,-0.0353,0.0121,0.0151
2019-02-09,AAPL,2019-02-22,187.50,Call,0.08,0.11,0.2529,0.0296,0.0080,-0.0207,0.0225,0.0019
2019-02-16,EFX,2019-03-01,93.00,Put,0.00,2.45,0.4173,-0.0235,0.0062,-0.0174,0.0118,-0.0010
2019-02-09,AAPL,2019-02-22,187.50,Put,16.95,17.45,0.2926,-0.9563,0.0115,-0.0265,0.0319,-0.0258
2019-02-16,EFX,2019-03-01,98.50,Call,10.70,13.40,0.4888,0.8834,0.0219,-0.0908,0.0405,0.0206
2019-02-09,AAPL,2019-02-22,195.00,Call,0.02,0.05,0.2818,0.0082,0.0024,-0.0077,0.0075,0.0005
2019-02-16,EFX,2019-03-01,98.50,Put,0.00,2.55,0.4173,-0.0994,0.0197,-0.0550,0.0364,-0.0041
2019-02-09,AAPL,2019-02-22,195.00,Put,24.35,24.95,0.3340,-0.9875,0.0051,-0.0093,0.0114,-0.0116
2019-02-16,EFX,2019-03-01,102.00,Call,6.80,9.60,0.4888,0.7822,0.0308,-0.1249,0.0636,0.0233
2019-02-09,AAPL,2019-03-08,145.00,Call,25.90,26.15,0.3602,0.9543,0.0056,-0.0387,0.0453,0.1047
2019-02-16,EFX,2019-03-01,102.00,Put,0.00,2.15,0.4173,-0.1958,0.0312,-0.0868,0.0607,-0.0079
2019-02-09,AAPL,2019-03-08,145.00,Put,0.18,0.22,0.3269,-0.0321,0.0047,-0.0194,0.0340,-0.0043
2019-02-16,EFX,2019-03-01,105.00,Call,4.20,7.40,0.4888,0.6756,0.0361,-0.1449,0.0776,0.0236
2019-02-16,EFX,2019-03-01,105.00,Put,0.75,2.35,0.4173,-0.3085,0.0398,-0.1101,0.0751,-0.0123
2019-02-09,AAPL,2019-03-08,152.50,Call,18.60,18.90,0.3010,0.9188,0.0106,-0.0478,0.0709,0.1057
2019-02-16,EFX,2019-03-01,107.00,Call,4.20,5.80,0.4624,0.6029,0.0404,-0.1445,0.0826,0.0218
2019-02-09,AAPL,2019-03-08,152.50,Put,0.40,0.45,0.2836,-0.0697,0.0100,-0.0311,0.0631,-0.0094
2019-02-16,EFX,2019-03-01,107.00,Put,1.80,3.80,0.4624,-0.4010,0.0395,-0.1340,0.0832,-0.0159
2019-02-09,AAPL,2019-03-08,157.50,Call,14.00,14.25,0.2734,0.8653,0.0168,-0.0593,0.1023,0.1022
2019-02-16,EFX,2019-03-01,109.00,Call,3.00,4.60,0.4448,0.5201,0.0429,-0.1414,0.0847,0.0195
2019-02-09,AAPL,2019-03-08,157.50,Put,0.75,0.81,0.2604,-0.1239,0.0167,-0.0436,0.1011,-0.0155
2019-02-16,EFX,2019-03-01,109.00,Put,2.65,3.80,0.3798,-0.4851,0.0496,-0.1125,0.0850,-0.0186
2019-02-09,AAPL,2019-03-08,162.50,Call,9.75,9.95,0.2514,0.7721,0.0255,-0.0725,0.1426,0.0933
2019-02-16,EFX,2019-03-01,111.00,Call,1.10,3.30,0.3285,0.4035,0.0562,-0.1014,0.0835,0.0156
2019-02-09,AAPL,2019-03-08,162.50,Put,1.50,1.57,0.2448,-0.2231,0.0260,-0.0593,0.1459,-0.0273
2019-02-16,EFX,2019-03-01,111.00,Put,2.65,5.20,0.3285,-0.5997,0.0558,-0.0931,0.0834,-0.0219
2019-02-09,AAPL,2019-03-08,167.50,Call,6.15,6.35,0.2384,0.6268,0.0336,-0.0831,0.1787,0.0771
2019-02-16,EFX,2019-03-01,114.00,Call,0.30,2.75,0.3285,0.2541,0.0458,-0.0821,0.0683,0.0102
2019-02-09,AAPL,2019-03-08,167.50,Put,2.88,2.96,0.2322,-0.3727,0.0349,-0.0702,0.1795,-0.0440
2019-02-16,EFX,2019-03-01,114.00,Put,4.00,6.90,0.3285,-0.7494,0.0463,-0.0752,0.0692,-0.0251
2019-02-09,AAPL,2019-03-08,170.00,Call,4.70,4.85,0.2340,0.5397,0.0360,-0.0844,0.1873,0.0669
2019-02-16,EFX,2019-03-01,117.00,Call,0.05,1.50,0.3285,0.1433,0.0323,-0.0577,0.0482,0.0058
2019-02-09,AAPL,2019-03-08,170.00,Put,3.85,4.00,0.2269,-0.4629,0.0376,-0.0712,0.1874,-0.0532
2019-02-16,EFX,2019-03-01,117.00,Put,6.40,9.10,0.3285,-0.8614,0.0327,-0.0502,0.0491,-0.0256
2019-02-16,EFX,2019-03-01,120.00,Call,0.00,1.90,0.3285,0.0722,0.0196,-0.0350,0.0293,0.0029
2019-02-09,AAPL,2019-03-08,175.00,Call,2.45,2.52,0.2245,0.3575,0.0352,-0.0747,0.1761,0.0448
2019-02-16,EFX,2019-03-01,120.00,Put,9.20,12.80,0.3285,-0.9333,0.0196,-0.0266,0.0298,-0.0238
2019-02-09,AAPL,2019-03-08,175.00,Put,6.60,6.70,0.2170,-0.6540,0.0371,-0.0612,0.1734,-0.0679
2019-02-16,EFX,2019-03-01,125.00,Call,0.00,2.25,0.3285,0.0181,0.0064,-0.0113,0.0095,0.0007
2019-02-09,AAPL,2019-03-08,177.50,Call,1.67,1.76,0.2222,0.2743,0.0318,-0.0656,0.1573,0.0345
2019-02-16,EFX,2019-03-01,125.00,Put,13.70,18.20,0.3285,-0.9861,0.0057,-0.0016,0.0083,-0.0196
2019-02-16,EFX,2019-03-15,95.00,Call,14.10,16.90,0.5325,0.8468,0.0153,-0.0760,0.0696,0.0557
2019-02-09,AAPL,2019-03-08,177.50,Put,8.25,8.50,0.2129,-0.7438,0.0336,-0.0511,0.1556,-0.0708
2019-02-16,EFX,2019-03-15,95.00,Put,0.50,0.70,0.4067,-0.0988,0.0142,-0.0374,0.0524,-0.0087
2019-02-09,AAPL,2019-03-08,182.50,Call,0.73,0.77,0.2203,0.1444,0.0219,-0.0439,0.1072,0.0183
2019-02-16,EFX,2019-03-15,100.00,Call,10.20,10.80,0.3966,0.8043,0.0239,-0.0664,0.0851,0.0574
2019-02-09,AAPL,2019-03-08,182.50,Put,12.30,12.60,0.2055,-0.8878,0.0227,-0.0267,0.0942,-0.0606
2019-02-16,EFX,2019-03-15,100.00,Put,1.00,1.20,0.3611,-0.1779,0.0241,-0.0496,0.0789,-0.0145
2019-02-09,AAPL,2019-03-08,187.50,Call,0.32,0.36,0.2275,0.0729,0.0129,-0.0274,0.0653,0.0093
2019-02-16,EFX,2019-03-15,105.00,Call,6.30,6.80,0.3533,0.6715,0.0342,-0.0739,0.1100,0.0510
2019-02-09,AAPL,2019-03-08,187.50,Put,17.00,17.25,0.2015,-0.9726,0.0123,-0.0071,0.0337,-0.0240
2019-02-16,EFX,2019-03-15,105.00,Put,2.00,2.35,0.3297,-0.3206,0.0363,-0.0616,0.1096,-0.0252
2019-02-09,AAPL,2019-03-08,195.00,Call,0.11,0.14,0.2476,0.0285,0.0056,-0.0139,0.0308,0.0036
2019-02-16,EFX,2019-03-15,110.00,Call,3.20,3.60,0.3163,0.4812,0.0420,-0.0716,0.1196,0.0377
2019-02-09,AAPL,2019-03-08,195.00,Put,24.35,24.65,0.2476,-0.9922,0.0060,-0.0028,0.0130,-0.0053
2019-02-16,EFX,2019-03-15,110.00,Put,3.90,4.30,0.3009,-0.5242,0.0445,-0.0613,0.1196,-0.0388
2019-02-09,AAPL,2019-03-29,145.00,Call,26.35,26.70,0.3136,0.9324,0.0067,-0.0356,0.0816,0.1775
2019-02-16,EFX,2019-03-15,115.00,Call,1.30,1.55,0.2936,0.2726,0.0377,-0.0547,0.1014,0.0218
2019-02-09,AAPL,2019-03-29,145.00,Put,0.43,0.47,0.2927,-0.0556,0.0061,-0.0202,0.0700,-0.0133
2019-02-09,AAPL,2019-03-29,152.50,Call,19.40,19.65,0.2791,0.8793,0.0115,-0.0450,0.1253,0.1748
2019-02-16,EFX,2019-03-15,115.00,Put,6.90,7.50,0.2816,-0.7430,0.0393,-0.0446,0.1000,-0.0477
2019-02-09,AAPL,2019-03-29,152.50,Put,0.93,0.98,0.2684,-0.1125,0.0115,-0.0314,0.1225,-0.0248
2019-02-16,EFX,2019-03-15,120.00,Call,0.40,0.60,0.2849,0.1220,0.0236,-0.0320,0.0610,0.0098
2019-02-09,AAPL,2019-03-29,157.50,Call,15.05,15.35,0.2644,0.8155,0.0162,-0.0538,0.1663,0.1660
2019-02-16,EFX,2019-03-15,120.00,Put,10.80,11.70,0.2510,-0.9212,0.0225,-0.0153,0.0468,-0.0382
2019-02-09,AAPL,2019-03-29,157.50,Put,1.56,1.63,0.2549,-0.1775,0.0165,-0.0403,0.1617,-0.0386
2019-02-16,EFX,2019-03-15,125.00,Call,0.10,0.20,0.2849,0.0462,0.0113,-0.0152,0.0292,0.0037
2019-02-09,AAPL,2019-03-29,162.50,Call,11.15,11.40,0.2525,0.7251,0.0212,-0.0617,0.2082,0.1506
2019-02-16,EFX,2019-03-15,125.00,Put,14.40,18.10,0.2510,-0.9849,0.0071,0.0000,0.0127,-0.0229
2019-02-09,AAPL,2019-03-29,162.50,Put,2.61,2.70,0.2447,-0.2713,0.0219,-0.0487,0.2050,-0.0577
2019-02-16,EFX,2019-04-18,95.00,Call,15.30,15.80,0.3475,0.8568,0.0147,-0.0344,0.1020,0.1300
2019-02-09,AAPL,2019-03-29,167.50,Call,7.75,8.00,0.2422,0.6095,0.0254,-0.0661,0.2395,0.1287
2019-02-16,EFX,2019-04-18,95.00,Put,1.00,1.20,0.3358,-0.1365,0.0147,-0.0259,0.1019,-0.0244
2019-02-09,AAPL,2019-03-29,167.50,Put,4.20,4.35,0.2366,-0.3921,0.0264,-0.0538,0.2418,-0.0802
2019-02-16,EFX,2019-04-18,100.00,Call,11.10,11.60,0.3201,0.7741,0.0212,-0.0405,0.1343,0.1221
2019-02-09,AAPL,2019-03-29,170.00,Call,6.30,6.50,0.2371,0.5444,0.0268,-0.0661,0.2474,0.1158
2019-02-09,AAPL,2019-03-29,170.00,Put,5.20,5.40,0.2314,-0.4599,0.0280,-0.0537,0.2474,-0.0920
2019-02-16,EFX,2019-04-18,100.00,Put,1.75,1.95,0.3088,-0.2203,0.0217,-0.0318,0.1343,-0.0386
2019-02-16,EFX,2019-04-18,105.00,Call,7.30,7.70,0.2880,0.6583,0.0288,-0.0434,0.1618,0.1076
2019-02-09,AAPL,2019-03-29,175.00,Call,3.95,4.10,0.2303,0.4085,0.0270,-0.0617,0.2424,0.0879
2019-02-16,EFX,2019-04-18,105.00,Put,2.95,3.20,0.2840,-0.3429,0.0295,-0.0357,0.1620,-0.0580
2019-02-09,AAPL,2019-03-29,175.00,Put,7.80,8.00,0.2229,-0.6033,0.0286,-0.0487,0.2383,-0.1116
2019-02-16,EFX,2019-04-18,110.00,Call,4.40,4.60,0.2692,0.5019,0.0334,-0.0430,0.1782,0.0843
2019-02-09,AAPL,2019-03-29,177.50,Call,3.00,3.15,0.2263,0.3416,0.0260,-0.0569,0.2291,0.0739
2019-02-16,EFX,2019-04-18,110.00,Put,4.80,5.30,0.2643,-0.5041,0.0347,-0.0351,0.1778,-0.0800
2019-02-09,AAPL,2019-03-29,177.50,Put,9.40,9.60,0.2203,-0.6733,0.0275,-0.0442,0.2280,-0.1175
2019-02-16,EFX,2019-04-18,115.00,Call,2.25,2.50,0.2548,0.3342,0.0322,-0.0365,0.1599,0.0573
2019-02-09,AAPL,2019-03-29,182.50,Call,1.68,1.78,0.2226,0.2244,0.0216,-0.0451,0.1869,0.0490
2019-02-16,EFX,2019-04-18,115.00,Put,7.60,8.20,0.2466,-0.6822,0.0341,-0.0278,0.1574,-0.0955
2019-02-09,AAPL,2019-03-29,182.50,Put,13.05,13.30,0.2136,-0.8012,0.0231,-0.0311,0.1769,-0.1168
2019-02-16,EFX,2019-04-18,120.00,Call,1.00,1.20,0.2452,0.1909,0.0250,-0.0259,0.1230,0.0333
2019-02-16,EFX,2019-04-18,120.00,Put,11.30,12.10,0.2363,-0.8367,0.0268,-0.0169,0.1129,-0.0897
2019-02-09,AAPL,2019-03-29,187.50,Call,0.88,0.96,0.2211,0.1364,0.0158,-0.0324,0.1364,0.0299
2019-02-16,EFX,2019-04-18,125.00,Call,0.40,0.50,0.2390,0.0941,0.0158,-0.0154,0.0747,0.0164
2019-02-09,AAPL,2019-03-29,187.50,Put,17.30,17.60,0.2091,-0.8999,0.0170,-0.0174,0.1105,-0.0922
2019-02-16,EFX,2019-04-18,125.00,Put,14.50,18.20,0.2574,-0.9097,0.0182,-0.0112,0.0761,-0.0744
2019-02-09,AAPL,2019-03-29,195.00,Call,0.34,0.39,0.2265,0.0616,0.0086,-0.0183,0.0759,0.0136
2019-02-16,EIX,2019-03-15,52.50,Call,8.20,8.90,0.4556,0.8856,0.0254,-0.0295,0.0324,0.0345
2019-02-09,AAPL,2019-03-29,195.00,Put,24.40,24.70,0.2265,-0.9660,0.0101,-0.0070,0.0506,-0.0445
2019-02-16,EIX,2019-03-15,52.50,Put,0.15,0.45,0.4556,-0.1142,0.0254,-0.0260,0.0323,-0.0053
2019-02-09,ABBV,2019-02-22,70.00,Call,9.35,10.10,0.3255,0.9811,0.0091,-0.0131,0.0072,0.0262
2019-02-16,EIX,2019-03-15,55.00,Call,5.90,6.50,0.3832,0.8340,0.0388,-0.0316,0.0417,0.0339
2019-02-16,EIX,2019-03-15,55.00,Put,0.30,0.65,0.3832,-0.1660,0.0391,-0.0280,0.0436,-0.0075
2019-02-09,ABBV,2019-02-22,70.00,Put,0.03,0.07,0.3178,-0.0167,0.0084,-0.0073,0.0065,-0.0005
2019-02-09,ABBV,2019-02-22,71.50,Call,8.05,8.60,0.3255,0.9595,0.0171,-0.0206,0.0136,0.0261
2019-02-16,EIX,2019-03-15,57.50,Call,3.20,4.40,0.2832,0.7620,0.0653,-0.0292,0.0518,0.0324
2019-02-09,ABBV,2019-02-22,71.50,Put,0.06,0.09,0.3178,-0.0371,0.0163,-0.0141,0.0126,-0.0012
2019-02-16,EIX,2019-03-15,57.50,Put,0.75,0.90,0.3084,-0.2549,0.0626,-0.0288,0.0552,-0.0112
2019-02-09,ABBV,2019-02-22,74.00,Call,5.40,6.10,0.1625,0.9910,0.0096,-0.0073,0.0038,0.0281
2019-02-16,EIX,2019-03-15,60.00,Call,2.05,2.40,0.2862,0.5670,0.0821,-0.0359,0.0658,0.0246
2019-02-09,ABBV,2019-02-22,74.00,Put,0.14,0.17,0.2750,-0.0783,0.0341,-0.0220,0.0228,-0.0025
2019-02-09,ABBV,2019-02-22,76.50,Call,3.50,3.70,0.2343,0.8236,0.0709,-0.0382,0.0404,0.0238
2019-02-16,EIX,2019-03-15,60.00,Put,1.40,1.60,0.2685,-0.4329,0.0885,-0.0301,0.0656,-0.0181
2019-02-09,ABBV,2019-02-22,76.50,Put,0.36,0.40,0.2400,-0.1821,0.0710,-0.0345,0.0418,-0.0053
2019-02-16,EIX,2019-03-15,62.50,Call,0.75,1.10,0.2511,0.3425,0.0874,-0.0290,0.0615,0.0152
2019-02-09,ABBV,2019-02-22,78.00,Call,2.39,2.48,0.2260,0.6995,0.0987,-0.0476,0.0543,0.0204
2019-02-16,EIX,2019-03-15,62.50,Put,2.60,2.90,0.2394,-0.6718,0.0927,-0.0237,0.0615,-0.0248
2019-02-09,ABBV,2019-02-22,78.00,Put,0.66,0.72,0.2257,-0.3012,0.0996,-0.0424,0.0551,-0.0085
2019-02-09,ABBV,2019-02-22,79.50,Call,1.40,1.49,0.2121,0.5381,0.1201,-0.0498,0.0619,0.0159
2019-02-16,EIX,2019-03-15,65.00,Call,0.20,0.40,0.2511,0.1660,0.0593,-0.0194,0.0417,0.0074
2019-02-09,ABBV,2019-02-22,79.50,Put,1.18,1.25,0.2140,-0.4642,0.1203,-0.0452,0.0620,-0.0125
2019-02-16,EIX,2019-03-15,65.00,Put,4.40,5.10,0.2394,-0.8570,0.0615,-0.0138,0.0390,-0.0244
