date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-16,EBAY,2019-04-18,37.00,Put,1.67,2.15,0.2827,-0.5197,0.0967,-0.0126,0.0591,-0.0277
2019-02-09,A,2019-03-15,82.50,Call,0.36,0.42,0.2388,0.1409,0.0399,-0.0186,0.0524,0.0099
2019-02-16,EBAY,2019-04-18,38.00,Call,1.10,1.13,0.2845,0.3954,0.0913,-0.0144,0.0576,0.0224
2019-02-09,A,2019-03-15,82.50,Put,6.85,7.10,0.2437,-0.8668,0.0421,-0.0146,0.0519,-0.0366
2019-02-16,EBAY,2019-04-18,38.00,Put,2.40,2.69,0.2873,-0.6098,0.0924,-0.0121,0.0572,-0.0312
2019-02-09,A,2019-03-15,85.00,Call,0.14,0.18,0.2366,0.0675,0.0235,-0.0107,0.0306,0.0047
2019-02-16,EBAY,2019-04-18,39.00,Call,0.72,0.86,0.2819,0.3104,0.0844,-0.0130,0.0538,0.0177
2019-02-09,A,2019-03-15,85.00,Put,9.15,9.50,0.2623,-0.9253,0.0283,-0.0097,0.0346,-0.0302
2019-02-16,EBAY,2019-04-18,39.00,Put,2.93,3.40,0.2736,-0.7058,0.0889,-0.0100,0.0516,-0.0330
2019-02-09,AAL,2019-02-22,30.50,Call,5.45,5.60,0.3575,0.9922,0.0085,-0.0040,0.0015,0.0116
2019-02-16,EBAY,2019-04-18,40.00,Call,0.48,0.53,0.2709,0.2272,0.0750,-0.0106,0.0446,0.0131
2019-02-09,AAL,2019-02-22,30.50,Put,0.00,0.05,0.4060,-0.0163,0.0142,-0.0041,0.0029,-0.0002
2019-02-16,EBAY,2019-04-18,40.00,Put,3.70,4.15,0.2696,-0.7867,0.0783,-0.0080,0.0430,-0.0332
2019-02-16,EBAY,2019-04-18,42.00,Call,0.10,0.21,0.2709,0.1174,0.0488,-0.0068,0.0293,0.0068
2019-02-09,AAL,2019-02-22,32.50,Call,3.55,3.65,0.3508,0.9380,0.0495,-0.0129,0.0086,0.0116
