date,act_symbol,expiration,strike,call_put,bid,ask,implied_volatility,delta,gamma,theta,vega,stock_price,T,mid_price,risk_free_rate,BS_price,BT_price,MC_price,Random Forest_ML_price,XGBoost_ML_price,Linear Regression_ML_price,SVR_ML_price,BS_error,BT_error,MC_error,Random Forest_ML_error,XGBoost_ML_error,Linear Regression_ML_error,SVR_ML_error,BS_error_pct,BT_error_pct,MC_error_pct,Random Forest_ML_error_pct,XGBoost_ML_error_pct,Linear Regression_ML_error_pct,SVR_ML_error_pct
2013-01-02,AAPL,2013-01-04,400.0,call,146.9,150.6,0.3726,1.0,0.0,-1.2112,0.0,549.029976,0.005479452054794521,148.75,0.05,149.1395500302694,149.13955003026487,149.19082053472025,101.08205589648196,147.57593,-31.25749293985993,149.84461861962913,0.3895500302693904,0.38955003026487134,0.4408205347202454,-47.66794410351804,-1.174072265625,-180.00749293985993,1.0946186196291308,0.26188237329034647,0.26188237328730846,0.296349939307728,-32.04567670824742,-0.7892922794117647,-121.0134406318386,0.7358780636162223
2013-01-03,AAPL,2013-01-04,400.0,call,140.2,143.05,0.6783,1.0,0.0,-1.2112,0.0,542.099991,0.0027397260273972603,141.625,0.05,142.15478176767,142.15478176767402,142.23887679500558,101.08205589648196,142.59322,-7.199281545038488,149.84461861962913,0.5297817676699879,0.5297817676740237,0.6138767950055808,-40.54294410351804,0.9682159423828125,-148.8242815450385,8.21961861962913,0.37407362236186253,0.37407362236471225,0.43345228243995115,-28.626968475564368,0.6836476203938658,-105.08334089676153,5.803790728776085
2013-01-04,AAPL,2013-01-04,400.0,call,126.25,127.4,0.3,1.0,0.0,0.0,0.0,526.999992,0.0,126.825,0.05,126.99999200000002,,126.99999200001126,101.08205589648196,125.635185,-33.46428840402612,149.84461861962913,0.17499200000001736,,0.17499200001125814,-25.74294410351804,-1.189814758300784,-160.28928840402614,23.019618619629128,0.13797910506604955,,0.1379791050749128,-20.298004418307148,-0.9381547473296149,-126.38619231541584,18.15069475231944
2013-01-07,AAPL,2013-01-11,420.0,call,103.45,104.5,0.509,1.0,0.0,-1.288,0.0005,523.900002,0.010958904109589041,103.975,0.05,104.13016326433876,104.13014283592334,103.90585729533967,87.32246349797542,106.084366,-11.366742159746856,149.84461861962913,0.1551632643387677,0.15514283592334266,-0.06914270466032235,-16.652536502024574,2.109365844726568,-115.34174215974684,45.869618619629136,0.14923131939289994,0.14921167196282054,-0.06649935528763871,-16.015904305866385,2.028724063213819,-110.93218769872261,44.1160073283281
2013-01-08,AAPL,2013-01-11,420.0,call,104.95,106.35,0.3686,1.0,0.0,-1.2717,0.0,525.31002,0.00821917808219178,105.65,0.05,105.48258727828977,105.48258727826783,105.32725237382365,87.32246349797542,107.57354,-22.25956578219028,149.84461861962913,-0.16741272171023525,-0.1674127217321768,-0.32274762617635133,-18.327536502024586,1.923539733886713,-127.90956578219028,44.194618619629125,-0.15845974605796048,-0.15845974607872862,-0.30548757801831644,-17.347407952697193,1.8206717784067326,-121.06915833619524,41.83115818232761
2013-01-09,AAPL,2013-01-11,420.0,call,95.45,98.3,0.4424,1.0,0.0,-1.2717,0.0,517.100006,0.005479452054794521,96.875,0.05,97.21505873201511,97.21505873182403,97.35894877242553,87.32246349797542,97.50191,-15.494930140095654,149.84461861962913,0.34005873201510894,0.3400587318240298,0.4839487724255349,-9.55253650202458,0.6269073486328125,-112.36993014009565,52.96961861962913,0.35102836853172537,0.35102836833448237,0.4995600231489393,-9.860682840799566,0.6471301663306452,-115.99476659622776,54.67831599445587
2013-01-10,AAPL,2013-01-11,420.0,call,102.6,103.9,0.7151,1.0,0.0,-1.2718,0.0,523.509979,0.0027397260273972603,103.25,0.05,103.56750931153653,103.5675093077501,103.23170444400391,87.32246349797542,104.04439,3.994580932676758,149.84461861962913,0.31750931153652573,0.31750930775010033,-0.01829555599609023,-15.92753650202458,0.7943878173828125,-99.25541906732325,46.59461861962913,0.30751507170607817,0.3075150680388381,-0.017719666824300463,-15.426185474115817,0.7693828739785109,-96.131156481669,45.127959922158965
2013-01-11,AAPL,2013-01-11,420.0,call,99.1,100.95,0.3,1.0,0.0,0.0,0.0,520.300026,0.0,100.025,0.05,100.300026,,100.30002600000992,87.32246349797542,100.5091,-26.899767715365677,149.84461861962913,0.2750259999999969,,0.27502600000991606,-12.702536502024586,0.48410186767577557,-126.92476771536568,49.819618619629125,0.2749572606848257,,0.27495726069474236,-12.699361661609181,0.48398087245766114,-126.8930444542521,49.80716682792214
2013-01-14,AAPL,2013-01-19,135.0,call,365.55,367.45,0.5376,1.0,0.0,-0.4088,0.0,501.750015,0.0136986301369863,366.5,0.05,366.8424490942993,366.84244909429685,366.3494861014585,358.94540252712176,366.84418,-84.33674574685077,149.84461861962913,0.3424490942992975,0.3424490942968532,-0.150513898541476,-7.554597472878243,0.34417724609375,-450.83674574685074,-216.65538138037087,0.09343767920853957,0.09343767920787265,-0.04106791228962511,-2.0612817115629585,0.09390920766541609,-123.01139038113253,-59.114701604466816
2013-01-15,AAPL,2013-01-19,135.0,call,349.55,351.35,0.5121,1.0,0.0,-0.4088,0.0,485.920013,0.010958904109589041,350.45000000000005,0.05,350.99396533997435,350.99396533997094,350.9143127083993,352.5427232261988,348.76062,-83.87491192677388,149.84461861962913,0.5439653399743065,0.5439653399708959,0.464312708399234,2.092723226198757,-1.6893798828125455,-434.3249119267739,-200.60538138037091,0.15521910114832543,0.1552191011473522,0.13249042899107832,0.5971531534309478,-0.48206017486447283,-123.93348892189296,-57.242226103686946
